id,type,release_year,age_certification,runtime,genres,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts8146,SHOW,2014,TV-14,42,"['drama', 'action', 'scifi']",7,7.6,242221,224.641,7.9
ts21374,SHOW,2014,TV-14,43,"['drama', 'thriller', 'crime']",6,8.1,146712,59.834,7.9
ts20248,SHOW,2013,TV-14,42,"['drama', 'fantasy']",4,7.5,47751,48.886,8
ts14583,SHOW,2014,TV-MA,26,"['drama', 'comedy', 'animation']",6,8.8,143584,92.62,8.6
ts6,SHOW,2013,TV-MA,52,['drama'],6,8.7,494092,46.137,8.1
ts20108,SHOW,2014,TV-G,24,"['scifi', 'action', 'comedy', 'family']",5,5.6,5245,121.52,8.2
ts20823,SHOW,2013,TV-MA,59,"['drama', 'comedy', 'crime']",7,8.1,295591,72.825,7.7
ts20824,SHOW,2013,TV-14,43,"['scifi', 'drama', 'fantasy', 'horror']",5,8.3,131574,139.994,8.6
ts21367,SHOW,2014,TV-14,42,"['drama', 'comedy']",5,7.8,46286,120.677,7.9
ts20280,SHOW,2014,TV-MA,55,"['action', 'drama', 'history', 'documentation']",2,8,71229,34.279,7.4
ts35682,SHOW,2013,TV-MA,46,"['drama', 'crime', 'thriller']",9,8.6,21747,29.782,8.1
ts20261,SHOW,2014,TV-14,43,"['war', 'thriller', 'drama']",6,7.6,22563,56.834,6.8
ts34950,SHOW,2013,TV-MA,25,"['action', 'scifi', 'fantasy', 'animation', 'comedy', 'drama']",1,7.9,13372,20.572,8.4
ts20791,SHOW,2014,TV-14,43,"['action', 'drama', 'scifi', 'comedy', 'horror', 'romance']",5,6.6,36059,81.469,7.2
ts20288,SHOW,2014,TV-14,45,"['scifi', 'crime', 'fantasy', 'horror', 'action']",3,6.9,20132,38.919,6.3
ts2727,SHOW,2013,TV-MA,26,"['drama', 'comedy', 'european']",3,8.1,31976,9.748,7.5
ts32218,SHOW,2013,TV-G,24,"['action', 'scifi', 'family', 'comedy', 'drama']",4,5.6,5340,62.125,8.1
ts20097,SHOW,2013,TV-MA,49,"['thriller', 'drama', 'fantasy', 'horror', 'scifi']",3,7,39590,52.542,7.2
ts314002,SHOW,2014,TV-14,24,"['action', 'scifi', 'comedy', 'fantasy', 'animation']",5,7.9,30341,37.744,8.5
ts20281,SHOW,2013,TV-Y,24,"['family', 'fantasy', 'animation']",4,6.8,2915,34.201,7.1
ts20014,SHOW,2014,TV-14,24,"['scifi', 'animation', 'action', 'comedy', 'drama', 'fantasy', 'romance', 'family']",4,7.8,2115,59.673,8.2
ts35570,SHOW,2014,TV-MA,24,"['comedy', 'european']",3,8.1,19259,14.348,7.5
ts32271,SHOW,2013,TV-14,48,['drama'],3,8.6,6958,18.747,8.4
ts4213,SHOW,2013,TV-PG,44,['reality'],5,7.5,886,1.639,8
ts20917,SHOW,2014,TV-14,42,"['drama', 'romance', 'fantasy', 'horror', 'action', 'animation', 'comedy']",4,7.5,12069,21.667,7.6
ts35282,SHOW,2013,TV-G,24,"['drama', 'romance', 'family']",7,5.9,1928,21.631,7.2
ts20336,SHOW,2014,TV-14,57,"['drama', 'romance', 'thriller', 'action', 'crime', 'european']",4,8.1,6018,28.303,6.1
ts36836,SHOW,2013,TV-PG,20,['comedy'],1,8.3,3616,5.587,8.3
